Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.43;1.63;2.25;2.16;2.13;2.24;2.73;1.96;1.99;0.91;1.44;2.00;3.07
Price/Earnings;57.65;—;—;373.72;100.02;120.40;—;—;—;—;810.67;858.41;25.84
Price/Cash Flow;20.74;13.61;18.77;11.22;9.98;8.71;10.56;12.27;11.14;3.52;4.48;9.60;17.36
Price/Book;2.27;1.96;3.04;2.97;2.73;3.19;2.39;1.90;2.28;0.98;1.50;2.09;4.27
Price/Forward Earnings;34.36;86.21;166.67;74.07;—;—;—;—;—;—;—;—;—
PEG Ratio;1.51;1.77;2.02;1.32;—;—;—;—;—;—;—;—;—
Earnings Yield %;1.73;-2.98;-0.68;0.27;1.00;0.83;-0.27;-2.99;-0.37;-0.07;0.12;-0.47;—
Enterprise Value (Bil);2.38;2.20;3.41;3.64;3.79;4.78;5.14;4.72;6.27;4.09;5.43;5.02;—
Enterprise Value/EBIT;94.50;—;—;79.05;59.25;104.96;—;—;230.51;113.42;92.51;-123.12;—
Enterprise Value/EBITDA;17.33;20.50;24.22;14.70;12.73;16.43;23.79;30.56;17.67;10.20;11.91;20.87;—
