Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.38;0.90;1.14;2.32;1.67;2.70;2.53;1.36;2.50;1.48;2.94;2.09;3.07
Price/Earnings;9.08;69.85;8.74;29.60;7.95;26.40;17.60;9.51;—;—;23.63;20.26;25.84
Price/Cash Flow;23.28;177.52;3.55;—;15.99;15.79;24.96;7.44;—;—;19.51;35.33;17.36
Price/Book;1.26;—;10.03;11.85;5.23;6.15;4.20;1.93;3.67;2.72;6.61;3.77;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;27.03;25.13;32.89;—;—
PEG Ratio;—;—;—;—;—;—;—;—;—;—;0.82;—;—
Earnings Yield %;11.01;1.43;11.44;3.38;12.58;3.79;5.68;10.51;-3.31;-0.82;4.23;3.01;—
Enterprise Value (Mil);12.53;7.61;7.98;20.06;19.65;36.97;36.66;16.14;33.97;25.85;78.86;31.37;—
Enterprise Value/EBIT;8.96;55.13;6.94;27.58;9.01;14.38;14.42;12.06;—;106.86;34.25;47.62;—
Enterprise Value/EBITDA;5.77;20.82;5.98;21.52;8.30;13.45;13.19;9.94;—;28.87;26.38;23.38;—
