Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;0.71;1.88;2.72;3.68;—;3.07
Price/Earnings;—;—;—;—;—;—;1,377.29;—;—;96.54;68.05;—;25.84
Price/Cash Flow;—;—;—;—;—;—;363.29;53.84;16.41;13.20;14.57;194.30;17.36
Price/Book;—;—;—;—;1.24;1.29;2.46;1.65;3.48;2.53;3.19;2.55;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;32.47;31.25;28.09;33.00;—;—
PEG Ratio;—;—;—;—;—;—;—;2.17;2.08;1.87;2.20;—;—
Earnings Yield %;—;—;—;—;—;—;0.07;-92.46;-1.62;1.04;-1.44;-15.64;—
Enterprise Value (Bil);—;—;—;—;0.48;0.50;0.63;2.67;3.72;8.04;9.07;3.10;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;96.13;91.81;140.57;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;16.59;26.04;26.94;—;—
