Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.69;2.28;3.65;2.61;1.65;2.14;2.92;1.52;2.24;3.93;7.01;2.65;3.07
Price/Earnings;25.76;23.34;31.43;18.14;36.04;40.81;46.70;17.05;22.51;—;68.91;34.46;25.84
Price/Cash Flow;8.98;9.89;13.33;11.08;14.98;9.69;11.01;9.54;11.98;—;17.75;11.56;17.36
Price/Book;5.37;—;15,152.33;159.32;—;—;52.77;5.88;7.77;—;60.13;25.12;4.27
Price/Forward Earnings;18.32;17.45;25.58;17.57;18.73;20.58;25.64;14.06;19.84;-42.92;—;21.25;—
PEG Ratio;1.22;0.64;1.29;1.07;4.69;0.42;0.79;0.87;1.52;—;—;0.89;—
Earnings Yield %;3.88;4.28;3.18;5.51;2.77;2.45;2.14;5.86;4.44;-15.54;-14.92;-0.21;—
Enterprise Value (Bil);15.00;15.27;23.82;19.29;13.75;16.51;24.41;17.59;22.92;21.53;23.24;20.66;—
Enterprise Value/EBIT;15.18;14.94;20.10;13.59;22.57;30.97;28.01;23.43;25.67;—;41.02;28.94;—
Enterprise Value/EBITDA;10.77;10.94;15.29;11.05;14.71;18.88;17.10;13.54;15.47;—;47.87;18.40;—
