Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.71;4.45;5.76;5.09;5.69;7.08;7.37;7.92;7.59;11.90;11.35;8.15;3.07
Price/Earnings;14.57;20.38;24.04;18.19;21.95;26.95;28.33;36.71;26.35;57.87;55.18;34.13;25.84
Price/Cash Flow;8.51;14.12;18.40;16.66;16.44;17.53;22.26;23.67;22.37;30.45;32.69;22.86;17.36
Price/Book;3.36;3.32;3.79;4.12;4.60;5.71;6.81;8.82;9.02;14.17;12.31;8.75;4.27
Price/Forward Earnings;16.92;16.00;19.38;17.27;22.99;25.25;23.98;23.64;26.46;40.32;41.67;28.92;—
PEG Ratio;1.60;3.45;1.42;1.99;8.41;3.75;3.49;1.49;2.89;4.28;3.47;3.00;—
Earnings Yield %;6.86;4.91;4.16;5.50;4.56;3.71;3.53;2.72;3.79;1.73;1.81;3.13;—
Enterprise Value (Bil);7.51;8.59;10.90;10.27;10.35;13.34;15.10;19.97;23.06;33.65;33.97;20.62;—
Enterprise Value/EBIT;10.28;14.21;16.94;12.48;14.52;18.09;20.07;22.52;22.14;44.35;43.36;24.69;—
Enterprise Value/EBITDA;9.44;12.66;15.19;11.43;13.19;16.63;18.53;19.97;19.81;35.65;35.02;21.65;—
