Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.07;3.65;5.66;6.96;5.88;8.83;3.83;2.75;2.29;2.63;2.10;3.52;3.07
Price/Earnings;—;—;—;66.22;12.20;25.11;—;—;25.34;—;15.07;24.65;25.84
Price/Cash Flow;10.75;34.39;—;15.57;11.48;16.00;10.13;6.93;5.29;7.41;4.95;7.71;17.36
Price/Book;1.29;1.34;2.03;3.68;2.87;4.28;2.75;1.64;1.62;1.70;1.54;2.16;4.27
Price/Forward Earnings;11.96;72.99;-13.89;23.92;14.22;14.99;9.76;6.64;—;12.14;10.17;11.36;—
PEG Ratio;0.48;3.90;—;1.59;—;—;—;—;—;—;—;—;—
Earnings Yield %;-0.96;-3.53;-13.44;1.51;8.20;3.98;-5.94;-8.59;3.95;-3.64;6.64;-1.58;—
Enterprise Value (Bil);0.33;0.42;0.68;1.49;1.12;1.75;1.64;1.27;1.20;3.07;2.90;1.69;—
Enterprise Value/EBIT;3.35;—;—;13.12;6.34;12.17;—;—;24.48;—;18.06;5.02;—
Enterprise Value/EBITDA;2.63;11.62;—;10.89;5.67;10.31;35.70;18.72;7.57;25.08;7.86;16.01;—
