Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.22;0.18;0.25;0.14;0.10;0.26;0.19;0.10;0.12;0.12;0.25;0.16;3.07
Price/Earnings;11.16;105.43;—;31.19;—;—;19.36;4.15;61.79;—;21.69;21.76;25.84
Price/Cash Flow;—;8.90;3.52;—;1.46;9.53;—;—;1.84;2.59;7.11;3.61;17.36
Price/Book;0.89;0.84;1.06;0.63;0.49;1.04;0.88;0.51;0.64;0.49;1.02;0.72;4.27
Price/Forward Earnings;8.85;9.23;16.78;—;—;—;—;—;—;—;9.17;—;—
PEG Ratio;0.38;0.67;0.55;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;8.96;0.95;-0.35;3.21;-37.65;-1.44;5.17;24.11;1.62;-5.33;4.61;4.93;—
Enterprise Value (Mil);502.85;476.18;512.86;459.21;309.49;428.14;452.96;457.30;439.52;341.95;537.14;430.35;—
Enterprise Value/EBIT;12.93;25.75;44.45;26.55;—;357.98;19.50;8.61;25.63;—;18.49;242.03;—
Enterprise Value/EBITDA;9.22;11.71;14.73;11.38;—;20.63;10.81;6.44;12.01;21.30;10.88;12.56;—
