Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.17;0.22;0.32;0.40;0.29;0.22;0.21;0.20;0.31;0.41;0.42;0.25;3.01
Price/Earnings;19.96;12.13;17.34;18.25;12.97;10.25;8.39;8.09;11.94;13.48;9.80;9.62;25.53
Price/Cash Flow;5.75;—;44.37;17.28;26.25;8.94;5.79;10.62;8.63;4.48;4.36;15.30;17.03
Price/Book;2.15;2.49;3.51;4.13;5.32;5.13;3.84;2.68;3.59;3.46;3.22;3.56;4.19
Price/Forward Earnings;10.64;10.64;12.82;15.80;10.81;9.84;10.07;8.55;10.56;9.87;10.14;9.70;—
PEG Ratio;0.50;0.67;0.98;1.44;1.43;1.47;10.83;2.00;1.65;0.41;0.52;6.65;—
Earnings Yield %;5.01;8.24;5.77;5.48;7.71;9.76;11.92;12.36;8.37;7.42;10.20;10.71;—
Enterprise Value (Bil);1.47;1.96;2.68;3.25;3.16;2.96;2.82;2.88;3.88;4.96;5.17;3.25;—
Enterprise Value/EBIT;14.43;10.57;12.79;12.46;11.01;9.83;8.33;9.35;11.58;14.03;10.33;9.82;—
Enterprise Value/EBITDA;11.83;9.42;11.49;11.34;10.00;8.93;7.61;8.44;10.48;12.65;9.59;8.90;—
