Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.26;0.25;0.33;0.33;0.33;0.45;0.40;0.33;0.39;0.43;0.51;0.41;3.07
Price/Earnings;16.24;17.50;21.99;21.64;30.29;37.47;28.15;22.14;19.74;—;13.85;30.27;25.84
Price/Cash Flow;6.97;7.27;11.85;13.55;11.25;27.83;392.69;6.64;9.60;5.57;5.98;36.09;17.36
Price/Book;1.38;1.28;1.73;1.65;1.58;2.33;1.80;1.46;1.63;1.68;1.86;1.88;4.27
Price/Forward Earnings;12.79;11.35;11.70;12.72;—;—;—;—;—;—;—;—;—
PEG Ratio;1.18;1.80;1.86;2.02;—;—;—;—;—;—;—;—;—
Earnings Yield %;6.16;5.71;4.55;4.62;3.30;2.67;3.55;4.52;5.06;0.01;7.22;3.17;—
Enterprise Value (Bil);1.37;1.26;1.87;1.88;1.70;2.48;3.59;3.02;3.25;3.02;3.33;3.08;—
Enterprise Value/EBIT;11.31;12.26;14.93;13.93;20.55;39.83;33.80;21.30;15.40;30.83;10.16;28.32;—
Enterprise Value/EBITDA;7.89;8.19;10.08;9.78;12.16;20.71;20.36;11.88;10.21;15.53;7.94;15.49;—
