Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;7.33;8.01;5.17;6.07;6.19;7.95;7.16;6.60;6.96;6.63;7.76;6.95;3.07
Price/Earnings;50.55;74.05;67.10;75.20;40.53;61.44;102.58;52.39;61.08;85.54;1,192.75;123.08;25.84
Price/Cash Flow;22.00;19.38;13.63;16.11;19.70;19.21;17.84;16.69;16.95;17.39;21.35;17.66;17.36
Price/Book;2.33;1.82;1.28;1.74;1.67;1.91;1.60;1.62;1.94;1.87;2.14;1.75;4.27
Price/Forward Earnings;48.31;36.50;16.95;32.57;59.17;50.25;—;—;—;—;—;41.16;—
PEG Ratio;5.54;4.11;1.91;3.67;—;—;—;—;—;—;—;—;—
Earnings Yield %;1.45;1.32;1.49;1.33;2.47;1.63;0.97;1.91;1.64;1.17;0.08;1.50;—
Enterprise Value (Bil);4.18;7.03;5.78;7.34;7.52;9.03;8.35;8.59;10.24;9.91;10.70;9.10;—
Enterprise Value/EBIT;43.00;61.62;46.04;49.19;36.51;47.27;68.34;41.55;46.26;53.41;90.08;51.44;—
Enterprise Value/EBITDA;22.37;30.48;18.87;21.40;18.28;22.28;24.31;18.41;20.61;21.83;27.55;21.26;—
