Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;0.12;0.17;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;11.13;13.58;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;2.38;2.96;—;17.36
Price/Book;—;—;—;—;—;—;—;—;—;5.46;7.03;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;10.99;9.65;—;—
PEG Ratio;—;—;—;—;—;—;—;—;—;1.37;1.21;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;—;8.99;7.36;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;—;20.57;22.06;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;10.67;13.27;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;4.99;5.83;—;—
