Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;5.20;8.64;7.65;9.78;10.48;11.35;9.58;7.58;7.43;4.65;7.62;8.24;3.01
Price/Earnings;33.57;49.18;38.20;27.14;34.80;39.37;16.44;37.51;55.17;54.58;372.83;56.13;25.53
Price/Cash Flow;13.43;19.47;20.53;21.55;21.08;28.12;16.34;19.66;17.36;10.87;18.29;18.44;17.03
Price/Book;2.53;2.11;1.98;2.59;2.14;1.83;1.46;1.30;1.49;0.84;1.32;1.39;4.19
Price/Forward Earnings;45.25;38.02;33.00;45.05;—;39.84;151.52;—;238.10;-11.63;—;—;—
PEG Ratio;4.93;4.10;3.55;4.85;—;—;—;—;—;—;—;—;—
Earnings Yield %;2.98;2.03;2.62;3.68;2.87;2.54;6.08;2.67;1.81;1.83;0.27;2.92;—
Enterprise Value (Bil);1.56;1.95;2.30;3.19;3.57;3.89;3.92;3.48;4.01;3.09;3.72;3.69;—
Enterprise Value/EBIT;27.18;50.38;34.14;17.01;18.71;27.38;35.33;75.85;55.50;59.73;54.67;69.44;—
Enterprise Value/EBITDA;15.83;25.19;21.11;13.60;14.31;19.02;18.53;21.71;20.47;16.63;17.25;19.91;—
