Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.59;1.60;1.95;2.07;1.73;2.30;2.65;2.82;3.03;2.78;3.03;2.68;3.07
Price/Earnings;16.79;15.88;19.47;18.44;15.50;24.59;21.49;25.41;21.25;18.16;22.82;21.34;25.84
Price/Cash Flow;6.52;6.43;8.40;8.80;7.72;9.80;9.38;9.96;13.46;10.13;12.10;10.59;17.36
Price/Book;1.50;1.34;1.60;1.66;1.37;1.70;1.86;1.86;1.90;1.41;1.57;1.73;4.27
Price/Forward Earnings;16.05;12.12;9.89;16.98;14.95;18.35;—;—;20.92;—;21.14;17.68;—
PEG Ratio;3.15;2.02;1.65;2.83;2.49;3.06;—;—;—;—;—;2.55;—
Earnings Yield %;5.96;6.30;5.14;5.42;6.45;4.07;4.65;3.94;4.71;5.51;4.38;4.77;—
Enterprise Value (Bil);2.27;2.55;3.00;3.76;3.99;4.61;5.20;5.32;5.74;5.18;5.46;5.17;—
Enterprise Value/EBIT;14.22;14.13;16.20;17.66;15.54;21.64;18.46;27.30;22.87;25.46;32.54;22.52;—
Enterprise Value/EBITDA;9.18;9.09;10.10;10.97;9.53;11.28;10.66;14.03;12.36;12.15;13.62;11.85;—
