Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.19;0.57;0.69;0.93;1.13;1.04;1.24;1.31;1.37;1.38;1.69;1.23;3.01
Price/Earnings;—;33.00;22.27;29.25;21.12;19.03;20.61;18.89;24.34;36.50;35.35;23.33;25.53
Price/Cash Flow;9.94;8.92;11.38;25.44;24.85;22.15;16.97;15.31;14.49;11.00;18.50;15.67;17.03
Price/Book;1.32;2.90;3.25;3.72;4.57;4.23;4.39;4.30;4.13;3.98;5.01;4.13;4.19
Price/Forward Earnings;11.52;20.70;17.83;23.70;18.80;15.43;17.48;16.00;18.48;20.20;18.28;17.39;—
PEG Ratio;0.79;0.25;1.13;1.73;2.93;3.63;—;—;—;1.79;3.04;2.46;—
Earnings Yield %;-12.87;3.03;4.49;3.42;4.73;5.25;4.85;5.29;4.11;2.74;2.83;4.68;—
Enterprise Value (Bil);0.39;0.68;0.79;1.05;1.68;2.22;2.65;3.09;3.59;4.15;5.38;3.09;—
Enterprise Value/EBIT;—;12.75;12.48;16.17;15.08;12.44;12.69;15.03;19.95;24.79;24.71;16.76;—
Enterprise Value/EBITDA;—;10.08;10.32;13.04;12.81;10.79;11.03;12.67;15.42;16.31;17.06;13.05;—
