Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.43;1.61;2.29;2.41;2.27;2.62;2.96;3.32;4.64;4.51;4.88;3.73;3.07
Price/Earnings;17.21;18.60;25.27;22.31;21.20;20.73;37.96;45.14;35.24;27.23;26.16;35.44;25.84
Price/Cash Flow;11.42;13.03;17.44;18.82;14.47;13.89;29.41;26.72;26.97;18.39;18.45;25.96;17.36
Price/Book;1.85;2.23;3.35;3.68;4.23;5.38;6.41;8.19;13.84;13.45;12.69;9.51;4.27
Price/Forward Earnings;12.90;12.35;16.47;15.43;14.18;15.90;16.69;15.90;20.12;19.65;21.55;18.80;—
PEG Ratio;1.55;0.69;0.90;0.76;1.13;1.12;1.71;2.71;1.87;1.62;1.75;1.97;—
Earnings Yield %;5.81;5.38;3.96;4.48;4.72;4.82;2.63;2.22;2.84;3.67;3.82;3.19;—
Enterprise Value (Bil);18.81;20.82;29.06;31.64;30.38;34.73;37.21;40.81;56.06;55.30;61.47;46.27;—
Enterprise Value/EBIT;11.67;12.94;17.29;16.62;16.51;16.70;30.18;27.03;26.10;21.17;20.61;25.05;—
Enterprise Value/EBITDA;8.65;9.19;12.48;12.60;12.69;13.38;16.47;18.00;20.62;17.92;18.41;17.95;—
