Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.84;1.83;2.33;2.97;2.86;3.30;4.40;3.96;5.84;6.86;6.98;4.86;3.07
Price/Earnings;15.24;17.15;23.63;31.42;22.13;20.72;31.80;24.29;29.60;31.96;34.45;27.36;25.84
Price/Cash Flow;10.57;10.91;15.14;14.19;11.60;11.95;23.00;13.90;17.53;18.60;17.90;16.96;17.36
Price/Book;3.10;2.77;3.36;4.20;3.87;4.42;3.56;3.24;4.69;5.00;5.06;4.14;4.27
Price/Forward Earnings;12.58;12.66;17.99;22.22;17.70;22.42;23.36;19.65;24.81;28.65;27.03;23.75;—
PEG Ratio;1.55;1.50;2.17;2.18;1.73;1.61;2.08;1.23;1.78;1.71;1.51;1.79;—
Earnings Yield %;6.56;5.83;4.23;3.18;4.52;4.83;3.14;4.12;3.38;3.13;2.90;3.77;—
Enterprise Value (Bil);22.07;22.93;29.48;36.69;33.73;36.00;36.19;35.99;52.77;62.41;66.16;45.13;—
Enterprise Value/EBIT;12.43;15.72;19.76;24.80;18.36;16.01;23.55;16.77;21.75;24.64;26.52;20.34;—
Enterprise Value/EBITDA;8.33;9.91;12.29;15.06;12.16;11.34;15.06;11.55;15.04;16.79;17.65;13.87;—
