Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.96;0.92;1.07;1.32;1.47;1.78;2.29;1.97;2.35;2.08;2.19;2.10;3.01
Price/Earnings;14.71;18.27;17.84;17.08;19.43;19.23;25.87;23.73;16.53;22.30;19.89;21.50;25.53
Price/Cash Flow;5.57;4.51;6.46;7.08;7.09;7.97;8.08;5.97;9.43;7.98;8.65;7.87;17.03
Price/Book;1.28;1.15;1.31;1.47;1.46;1.58;2.02;1.59;1.71;1.40;1.44;1.65;4.19
Price/Forward Earnings;14.56;11.78;11.06;17.99;17.12;19.69;—;—;24.04;—;20.28;19.90;—
PEG Ratio;2.91;2.72;2.21;3.59;3.43;3.72;—;—;—;—;—;—;—
Earnings Yield %;6.80;5.47;5.60;5.86;5.15;5.20;3.86;4.21;6.05;4.48;5.03;4.85;—
Enterprise Value (Bil);2.82;2.70;3.02;3.70;3.86;4.38;5.23;4.72;5.40;5.08;5.33;4.98;—
Enterprise Value/EBIT;12.14;13.83;13.32;13.52;14.91;15.21;17.74;17.98;16.43;22.38;20.45;17.92;—
Enterprise Value/EBITDA;8.17;8.39;8.42;8.91;9.56;9.76;11.17;10.56;10.17;11.34;10.90;10.62;—
