Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.00;2.29;2.63;3.18;3.47;3.95;4.91;4.78;6.27;7.40;7.42;5.49;3.07
Price/Earnings;19.08;17.60;20.72;24.23;22.89;27.83;30.91;36.02;35.00;42.05;39.38;34.62;25.84
Price/Cash Flow;7.35;6.90;8.31;9.14;9.68;10.39;12.43;11.48;16.65;19.48;19.90;14.08;17.36
Price/Book;1.31;1.48;1.63;1.94;2.06;2.46;2.96;2.80;3.59;4.27;4.29;3.26;4.27
Price/Forward Earnings;16.69;14.51;15.53;20.53;21.46;23.81;27.70;25.45;31.35;35.97;36.50;29.64;—
PEG Ratio;1.86;2.18;2.72;1.90;3.86;3.66;—;2.93;3.33;4.21;3.91;3.68;—
Earnings Yield %;5.24;5.68;4.83;4.13;4.37;3.59;3.24;2.78;2.86;2.38;2.54;2.94;—
Enterprise Value (Bil);11.36;12.13;13.18;15.40;16.92;19.68;23.69;24.71;31.36;38.04;39.00;27.72;—
Enterprise Value/EBIT;14.01;12.70;14.32;15.88;15.65;18.65;19.71;21.38;26.46;30.38;31.50;23.50;—
Enterprise Value/EBITDA;9.61;9.07;9.95;11.06;11.18;12.96;13.93;14.76;17.86;20.51;21.03;16.10;—
