Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;0.39;0.53;0.49;0.55;0.68;0.77;0.50;0.46;0.58;3.01
Price/Earnings;—;—;—;10.70;24.51;20.53;15.78;16.93;14.79;71.00;199.50;26.78;25.53
Price/Cash Flow;—;—;—;13.66;12.39;9.67;9.97;11.22;10.79;6.24;7.07;9.70;17.03
Price/Book;—;—;—;9.64;4.37;3.36;3.32;3.36;3.34;2.18;1.89;3.20;4.19
Price/Forward Earnings;—;—;—;—;14.31;14.79;—;—;14.08;11.48;11.40;13.28;—
PEG Ratio;—;—;—;—;0.72;0.74;—;—;0.70;0.57;0.57;0.67;—
Earnings Yield %;—;—;—;9.34;4.08;4.87;6.34;5.91;6.76;1.41;0.50;5.87;—
Enterprise Value (Mil);—;—;—;111.46;135.14;154.20;183.30;235.18;251.01;183.47;168.28;196.53;—
Enterprise Value/EBIT;—;—;—;35.36;14.02;10.71;10.57;10.43;11.68;41.72;79.66;15.90;—
Enterprise Value/EBITDA;—;—;—;13.51;9.37;7.21;7.78;8.41;9.52;18.89;25.82;9.80;—
