Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.35;0.38;0.53;0.49;0.42;0.66;0.61;0.39;0.58;0.49;0.51;0.52;3.01
Price/Earnings;11.82;16.62;20.42;11.06;13.51;18.26;23.10;—;25.26;—;57.08;88.85;25.53
Price/Cash Flow;80.09;6.23;7.02;12.25;7.68;5.97;10.90;26.27;9.19;16.26;6.54;12.56;17.03
Price/Book;0.70;0.80;1.06;1.06;0.80;1.13;1.00;0.73;1.23;0.99;1.05;0.99;4.19
Price/Forward Earnings;13.04;12.55;15.67;14.97;12.53;19.57;—;—;—;—;—;15.43;—
PEG Ratio;5.67;1.25;1.57;1.50;—;—;—;—;—;—;—;—;—
Earnings Yield %;8.46;6.02;4.90;9.04;7.40;5.48;4.33;-7.70;3.96;0.00;1.75;1.60;—
Enterprise Value (Bil);0.54;0.54;0.83;0.94;0.58;1.08;0.93;0.55;1.14;0.88;0.84;0.87;—
Enterprise Value/EBIT;8.41;7.05;9.97;7.07;5.81;14.36;11.28;7.47;19.06;180.93;27.03;28.65;—
Enterprise Value/EBITDA;5.39;4.82;6.79;5.27;3.91;8.29;7.04;4.40;10.52;16.37;10.67;8.42;—
