Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;6.39;8.64;7.41;7.38;7.60;7.62;9.88;8.55;10.18;11.61;14.31;9.93;3.07
Price/Earnings;93.33;112.75;229.47;157.40;56.50;88.54;92.51;102.48;71.79;99.49;87.55;91.77;25.84
Price/Cash Flow;19.73;27.21;19.75;16.32;16.31;16.17;21.64;18.62;22.70;23.29;28.29;21.10;17.36
Price/Book;5.51;7.20;8.22;3.84;3.99;4.63;3.56;3.67;5.22;7.22;9.54;5.21;4.27
Price/Forward Earnings;54.64;63.29;44.84;53.48;55.56;52.91;96.15;65.79;54.35;60.61;69.93;69.78;—
PEG Ratio;—;1.30;1.25;1.18;1.91;4.38;3.62;2.94;2.52;3.06;3.35;3.33;—
Earnings Yield %;1.07;0.89;0.44;0.64;1.77;1.13;1.08;0.98;1.39;1.01;1.14;1.11;—
Enterprise Value (Bil);19.61;32.32;35.09;37.61;40.81;43.73;53.59;61.18;82.58;93.70;110.94;70.40;—
Enterprise Value/EBIT;29.68;52.71;53.77;45.75;39.33;52.19;52.09;50.80;51.01;64.67;66.27;55.12;—
Enterprise Value/EBITDA;16.18;26.15;25.05;21.09;19.64;22.51;24.55;22.62;25.93;30.69;33.71;26.03;—
