Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;5.52;4.95;6.09;6.27;4.25;4.54;6.01;4.21;7.62;8.59;8.91;6.03;3.01
Price/Earnings;24.91;20.45;25.52;24.18;18.81;19.65;22.63;14.92;24.52;30.58;38.09;22.96;25.53
Price/Cash Flow;17.91;66.63;21.63;35.66;13.44;18.91;34.13;17.48;28.13;23.34;38.48;25.70;17.03
Price/Book;5.81;6.16;7.06;7.19;5.63;5.66;7.10;4.95;10.63;15.06;20.88;9.55;4.19
Price/Forward Earnings;18.02;17.15;21.01;20.12;16.29;15.55;20.83;13.46;21.65;25.64;22.83;19.76;—
PEG Ratio;3.60;1.25;1.55;1.16;1.36;1.02;2.49;1.35;6.98;7.38;0.80;3.27;—
Earnings Yield %;4.01;4.89;3.92;4.13;5.31;5.09;4.42;6.70;4.08;3.27;2.63;4.62;—
Enterprise Value (Bil);1.12;1.12;1.60;1.67;1.21;1.35;1.97;1.44;2.88;3.49;3.93;2.20;—
Enterprise Value/EBIT;14.51;11.57;14.62;14.01;9.33;10.41;13.13;9.38;19.48;22.76;33.11;15.69;—
Enterprise Value/EBITDA;13.64;10.94;13.93;13.45;9.01;9.87;12.49;8.95;18.82;21.14;29.42;14.80;—
