Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.79;1.54;1.78;0.58;0.27;0.61;0.52;0.25;—;1.25;1.51;0.74;3.01
Price/Earnings;—;—;—;—;—;—;—;—;—;—;111.25;50.09;25.53
Price/Cash Flow;2.51;2.68;3.52;0.83;0.90;—;0.99;0.33;7.41;1.95;2.37;2.32;17.03
Price/Book;0.69;0.78;0.88;0.34;0.77;—;—;0.92;1.46;0.86;1.34;1.19;4.19
Price/Forward Earnings;20.58;500.00;-166.67;-2.59;-0.51;—;-11.43;4.72;—;—;6.94;8.31;—
PEG Ratio;2.06;51.25;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;-1.90;-14.29;-16.94;-11.01;-947.06;-389.95;-107.92;-210.60;—;-11.67;-17.69;-264.13;—
Enterprise Value (Bil);1.44;2.04;1.53;1.31;1.22;1.13;1.19;1.69;4.41;3.69;4.42;2.23;—
Enterprise Value/EBIT;54.30;—;—;224.13;—;—;45.56;—;—;33.48;22.77;94.26;—
Enterprise Value/EBITDA;4.98;7.22;6.62;3.54;—;—;8.06;15.15;—;6.89;11.55;12.18;—
