Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.32;1.61;2.23;2.41;2.86;2.32;2.87;2.59;2.98;4.45;6.23;3.18;3.07
Price/Earnings;—;17.84;23.89;25.35;26.27;25.65;26.70;41.46;32.57;41.64;50.49;34.79;25.84
Price/Cash Flow;7.46;8.72;12.29;14.19;13.47;12.72;18.03;13.11;17.14;21.32;29.25;17.20;17.36
Price/Book;2.47;3.01;3.84;4.49;5.33;4.16;5.08;4.35;4.88;6.56;8.57;5.26;4.27
Price/Forward Earnings;10.35;12.97;16.67;17.51;19.08;14.95;19.76;17.48;20.66;28.09;37.88;21.99;—
PEG Ratio;1.00;0.98;1.46;1.39;1.48;1.22;2.17;1.39;1.84;1.82;2.76;1.88;—
Earnings Yield %;-13.54;5.60;4.19;3.94;3.81;3.90;3.75;2.41;3.07;2.40;1.98;3.02;—
Enterprise Value (Bil);2.01;2.36;3.02;3.65;4.51;4.75;6.21;7.00;9.36;14.38;20.66;8.68;—
Enterprise Value/EBIT;—;14.45;18.00;21.18;22.61;20.38;19.34;21.17;28.65;31.40;36.96;24.71;—
Enterprise Value/EBITDA;—;9.64;11.81;13.42;15.30;13.58;13.67;14.45;18.19;21.03;25.89;16.62;—
