Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.85;1.65;1.93;1.88;1.47;1.05;0.85;0.44;0.21;0.06;0.31;0.52;3.07
Price/Earnings;49.63;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;15.04;11.02;17.71;14.21;13.65;8.74;6.82;5.03;10.08;41.09;70.99;13.50;17.36
Price/Book;1.30;3.13;4.35;5.05;4.41;3.84;4.84;3.56;30.29;—;1.22;6.47;4.27
Price/Forward Earnings;26.04;28.49;25.19;104.17;—;—;—;—;—;—;56.18;—;—
PEG Ratio;—;—;—;3.71;—;—;—;—;—;—;2.01;—;—
Earnings Yield %;2.02;-0.59;-2.29;-3.17;-1.97;-5.17;-12.16;-16.76;-77.99;-1,051.45;-201.06;-128.61;—
Enterprise Value (Bil);0.40;0.91;1.11;1.36;1.33;1.36;1.41;1.20;1.33;0.94;0.96;1.24;—
Enterprise Value/EBIT;21.14;65.90;92.70;187.24;57.73;76.18;4,883.35;62.59;—;—;83.60;508.51;—
Enterprise Value/EBITDA;11.61;18.66;20.13;25.75;17.56;17.88;20.85;14.72;32.99;—;22.31;20.67;—
