Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.55;0.64;1.12;1.52;1.52;1.92;2.08;1.89;2.11;2.70;2.67;2.06;3.07
Price/Earnings;16.43;18.02;86.57;25.84;21.51;57.44;23.84;57.53;22.73;37.73;28.18;41.26;25.84
Price/Cash Flow;13.09;8.81;15.95;22.56;14.41;16.14;14.29;16.21;17.72;15.38;14.14;15.34;17.36
Price/Book;1.08;1.33;2.48;1.91;1.94;2.40;2.45;2.25;2.47;2.68;2.74;2.38;4.27
Price/Forward Earnings;11.55;15.27;26.95;16.98;18.55;21.32;20.62;15.22;—;—;—;19.09;—
PEG Ratio;0.64;1.91;3.37;2.12;—;—;—;—;—;—;—;—;—
Earnings Yield %;6.09;5.55;1.16;3.87;4.65;1.74;4.19;1.74;4.40;2.65;3.55;3.29;—
Enterprise Value (Bil);0.32;0.40;0.70;0.54;0.51;0.72;0.81;0.79;1.01;1.11;1.17;0.86;—
Enterprise Value/EBIT;11.82;13.53;23.18;13.85;21.22;14.72;14.90;18.00;17.93;26.12;20.39;17.71;—
Enterprise Value/EBITDA;7.15;8.13;13.49;9.64;12.70;10.69;10.90;12.02;12.55;16.11;13.87;12.03;—
