Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.22;1.49;1.40;1.71;1.24;1.22;1.27;0.96;1.03;0.93;1.22;1.07;3.01
Price/Earnings;28.52;21.17;50.71;115.84;—;31.84;—;6.36;371.00;—;443.25;100.32;25.53
Price/Cash Flow;5.25;7.16;6.73;9.11;8.86;8.46;8.86;6.08;9.59;5.76;9.66;7.54;17.03
Price/Book;1.72;2.32;2.56;3.63;3.37;4.06;6.61;3.48;5.16;6.10;8.13;4.74;4.19
Price/Forward Earnings;22.99;23.70;28.01;35.46;59.17;196.08;140.85;87.72;357.14;2,000.00;833.33;437.55;—
PEG Ratio;15.34;1.21;6.57;1.65;3.00;4.48;9.39;5.85;23.56;—;—;12.56;—
Earnings Yield %;3.51;4.72;1.97;0.86;-0.65;3.14;-3.08;15.72;0.27;-1.60;0.23;2.29;—
Enterprise Value (Bil);3.93;4.52;4.51;5.10;4.49;4.62;5.03;4.20;4.49;4.26;4.86;4.46;—
Enterprise Value/EBIT;22.41;17.72;25.35;31.86;35.06;33.97;58.47;20.69;31.82;44.85;48.15;47.74;—
Enterprise Value/EBITDA;10.76;10.04;11.72;13.74;13.60;13.55;17.16;9.88;12.39;13.36;15.01;13.07;—
