Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.51;1.37;1.81;1.98;1.90;2.72;3.32;3.34;3.52;3.38;3.45;3.15;3.07
Price/Earnings;18.73;15.68;22.62;23.22;23.27;38.52;31.94;39.07;36.83;28.59;24.30;36.21;25.84
Price/Cash Flow;7.96;5.83;7.71;9.61;7.71;10.74;14.94;14.53;13.20;19.25;19.58;14.09;17.36
Price/Book;1.68;1.62;1.83;1.89;1.74;2.49;3.17;3.22;3.30;3.06;3.10;2.97;4.27
Price/Forward Earnings;16.23;12.63;15.36;19.31;18.62;26.11;32.36;32.89;32.26;32.05;31.85;30.43;—
PEG Ratio;2.50;1.57;2.56;3.22;—;—;—;—;—;—;—;—;—
Earnings Yield %;5.34;6.38;4.42;4.31;4.30;2.60;3.13;2.56;2.72;3.50;4.12;2.87;—
Enterprise Value (Bil);1.24;1.30;1.54;1.64;1.62;2.22;2.90;3.12;3.42;3.79;4.01;3.03;—
Enterprise Value/EBIT;17.30;13.22;15.95;16.12;16.17;23.07;21.09;27.40;27.97;25.64;23.19;25.46;—
Enterprise Value/EBITDA;10.21;8.38;9.89;9.91;9.98;13.80;13.63;15.79;16.10;15.39;14.51;14.85;—
