Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.89;1.11;1.44;0.84;0.49;0.64;0.84;0.92;1.42;2.83;2.96;1.24;3.07
Price/Earnings;9.92;14.45;21.53;121.07;27.68;14.51;47.71;19.24;43.20;19.55;30.72;31.71;25.84
Price/Cash Flow;6.87;7.59;11.16;12.67;4.43;5.26;7.95;9.36;10.34;16.92;15.29;9.60;17.36
Price/Book;1.72;1.78;2.96;1.52;0.96;1.07;1.41;1.41;1.99;3.37;3.67;1.74;4.27
Price/Forward Earnings;9.11;11.89;13.66;18.25;18.80;16.67;30.49;16.95;27.03;29.41;24.51;22.83;—
PEG Ratio;—;2.64;3.04;4.06;—;—;—;—;—;—;—;—;—
Earnings Yield %;10.08;6.92;4.65;0.83;3.61;6.89;2.10;5.20;2.31;5.11;3.25;4.55;—
Enterprise Value (Bil);1.84;2.04;3.67;5.08;3.61;3.82;4.63;4.77;6.27;10.90;12.40;5.85;—
Enterprise Value/EBIT;6.70;8.82;17.69;31.12;18.55;15.02;25.82;26.74;27.04;16.76;24.73;22.01;—
Enterprise Value/EBITDA;5.37;6.44;12.36;12.85;7.79;7.12;9.68;9.63;11.27;11.00;14.67;9.53;—
