Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.95;6.97;6.93;8.37;8.86;7.87;8.10;6.71;8.22;5.56;6.90;7.23;3.07
Price/Earnings;—;145.63;80.31;97.93;85.19;70.17;76.89;48.76;68.59;16.39;177.32;62.65;25.84
Price/Cash Flow;10.63;19.17;17.29;20.13;21.55;16.82;16.90;13.61;16.42;10.95;15.08;14.98;17.36
Price/Book;1.32;1.66;1.67;2.10;2.39;2.93;2.86;2.36;3.14;2.09;2.41;2.68;4.27
Price/Forward Earnings;208.33;44.25;32.89;17.64;—;—;55.56;44.05;70.92;—;—;—;—
PEG Ratio;34.21;0.49;0.37;2.94;—;—;6.93;5.50;—;—;—;—;—
Earnings Yield %;-0.38;0.69;1.25;1.02;1.17;1.43;1.30;2.05;1.46;6.10;0.56;2.49;—
Enterprise Value (Bil);5.61;6.36;6.52;7.31;8.05;9.78;10.84;9.76;11.71;9.64;10.51;10.33;—
Enterprise Value/EBIT;39.66;36.33;35.61;40.81;40.41;41.81;44.87;35.92;44.87;19.77;66.09;38.87;—
Enterprise Value/EBITDA;15.43;17.67;17.61;19.23;19.93;20.91;21.06;17.36;19.52;10.86;19.49;18.00;—
