Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;3.72;3.52;4.34;4.23;—;3.01
Price/Earnings;—;—;—;—;—;—;—;—;117.80;—;110.44;—;25.53
Price/Cash Flow;—;—;—;—;—;—;—;31.68;45.70;71.19;83.35;—;17.03
Price/Book;—;—;—;—;—;—;—;2.24;2.00;1.73;2.09;—;4.19
Price/Forward Earnings;—;—;—;—;—;—;—;29.07;22.83;33.11;33.67;—;—
PEG Ratio;—;—;—;—;—;—;—;1.89;2.29;1.24;1.78;—;—
Earnings Yield %;—;—;—;—;—;—;—;-1.46;0.85;-1.92;-3.60;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;13.71;13.04;19.95;22.35;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;54.05;80.72;—;244.04;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;24.34;27.96;155.89;151.34;—;—
