Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;5.99;4.05;1.58;2.95;4.41;4.35;—;3.07
Price/Earnings;—;—;—;—;—;—;0.11;15.46;—;132.58;221.75;—;25.84
Price/Cash Flow;—;—;—;—;—;55.25;—;7.96;13.35;41.96;46.94;—;17.36
Price/Book;—;—;—;—;—;9.87;6.19;1.97;3.48;5.07;5.10;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;37.17;14.93;—;40.65;40.32;—;—
PEG Ratio;—;—;—;—;—;—;1.86;1.49;—;—;—;—;—
Earnings Yield %;—;—;—;—;—;-37.56;874.54;6.47;-0.37;0.75;0.45;36.47;—
Enterprise Value (Bil);—;—;—;—;—;1.45;1.19;0.54;0.90;1.41;1.47;1.07;—
Enterprise Value/EBIT;—;—;—;—;—;85.76;41.93;20.10;349.67;79.77;211.52;117.16;—
Enterprise Value/EBITDA;—;—;—;—;—;49.35;27.95;12.37;20.75;33.55;45.69;27.86;—
