Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.82;1.25;1.37;1.23;1.04;1.24;1.45;1.04;1.17;1.61;1.85;1.29;3.07
Price/Earnings;9.85;23.30;16.81;10.78;13.64;12.99;13.45;6.86;14.28;28.82;32.48;14.64;25.84
Price/Cash Flow;10.32;8.99;10.26;7.97;6.70;7.21;9.71;7.27;7.02;7.97;10.66;7.93;17.36
Price/Book;2.80;3.56;3.43;2.89;2.57;2.48;2.64;1.73;1.79;2.24;2.56;2.17;4.27
Price/Forward Earnings;8.44;10.63;11.26;9.65;8.82;10.34;11.39;8.03;10.43;14.37;13.76;10.97;—
PEG Ratio;1.13;1.43;1.33;—;1.48;2.47;1.74;1.26;5.99;5.86;1.29;2.86;—
Earnings Yield %;10.15;4.29;5.95;9.28;7.33;7.70;7.44;14.57;7.00;3.47;3.08;7.91;—
Enterprise Value (Bil);6.32;15.01;16.51;15.63;16.95;17.44;19.81;16.65;16.78;18.84;20.92;16.78;—
Enterprise Value/EBIT;6.89;18.83;13.06;9.06;13.53;13.07;13.31;10.00;14.13;25.81;27.35;14.14;—
Enterprise Value/EBITDA;5.31;12.97;9.72;7.23;9.40;9.12;9.56;7.36;9.31;14.40;15.51;9.28;—
