Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.60;0.79;1.50;1.19;1.10;1.46;1.26;1.24;1.07;1.21;1.42;1.20;3.01
Price/Earnings;10.39;10.48;21.57;17.63;15.84;24.87;18.97;27.04;18.12;36.75;29.57;23.68;25.53
Price/Cash Flow;13.54;8.31;13.38;20.04;8.20;13.99;17.23;13.24;14.74;9.76;11.84;13.16;17.03
Price/Book;1.32;1.55;2.68;2.32;2.46;3.17;2.58;2.79;2.41;2.47;2.71;2.56;4.19
Price/Forward Earnings;8.88;9.35;15.67;—;—;—;13.57;12.87;13.12;16.16;17.92;14.62;—
PEG Ratio;0.62;0.69;1.16;—;—;—;1.36;1.29;1.31;1.62;1.79;1.62;—
Earnings Yield %;9.63;9.54;4.64;5.67;6.31;4.02;5.27;3.70;5.52;2.72;3.38;4.55;—
Enterprise Value (Bil);1.43;1.81;3.22;2.97;2.83;3.57;3.13;3.41;3.89;4.26;4.79;3.57;—
Enterprise Value/EBIT;7.86;7.03;13.63;13.87;11.69;17.40;13.34;12.94;18.31;25.73;22.97;16.77;—
Enterprise Value/EBITDA;6.27;5.87;11.22;10.96;9.48;13.71;10.87;10.70;13.44;16.46;15.83;12.57;—
