Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.83;2.96;3.34;2.99;3.75;8.00;6.16;3.12;2.85;2.57;4.78;4.37;3.07
Price/Earnings;25.45;57.25;41.34;16.53;—;—;5,395.50;10.20;16.26;—;859.90;488.50;25.84
Price/Cash Flow;6.53;6.25;6.98;5.91;7.60;25.49;16.63;7.22;5.77;5.07;11.61;11.27;17.36
Price/Book;2.12;2.47;3.08;2.85;2.93;4.94;4.48;2.73;2.31;1.44;2.42;2.99;4.27
Price/Forward Earnings;21.46;17.36;18.08;24.33;270.27;175.44;68.49;13.44;15.08;25.84;12.12;69.82;—
PEG Ratio;0.40;0.40;0.43;1.32;—;—;—;1.09;4.13;5.82;0.79;—;—
Earnings Yield %;3.93;1.75;2.42;6.05;-9.83;-2.24;0.02;9.80;6.15;-1.06;0.12;2.42;—
Enterprise Value (Bil);30.33;38.25;50.83;54.91;44.61;64.22;67.94;55.74;52.72;32.01;52.20;53.95;—
Enterprise Value/EBIT;15.14;25.59;21.96;11.05;—;—;202.10;14.60;13.17;—;164.04;-25.26;—
Enterprise Value/EBITDA;6.94;8.20;8.78;6.19;—;32.57;18.23;7.73;6.83;9.57;14.43;13.00;—
