Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.12;1.48;1.87;1.84;1.77;2.57;2.28;2.23;2.97;3.68;3.46;2.60;3.07
Price/Earnings;14.76;24.14;29.28;22.92;22.73;32.01;29.11;18.63;29.84;106.41;91.25;36.15;25.84
Price/Cash Flow;10.21;18.24;19.47;22.46;14.44;19.92;23.26;18.43;22.96;32.79;20.92;21.85;17.36
Price/Book;1.28;1.59;1.51;1.66;1.60;2.37;2.32;2.25;2.91;2.80;2.46;2.39;4.27
Price/Forward Earnings;10.65;13.33;20.49;21.41;20.08;—;—;—;—;—;—;—;—
PEG Ratio;0.71;0.89;2.05;2.14;1.67;—;—;—;—;—;—;—;—
Earnings Yield %;6.78;4.14;3.42;4.36;4.40;3.12;3.44;5.37;3.35;0.94;1.10;3.51;—
Enterprise Value (Bil);0.86;1.12;1.04;0.97;0.94;1.51;1.79;1.90;2.63;2.70;2.44;2.00;—
Enterprise Value/EBIT;10.81;16.93;19.83;15.19;15.15;21.70;21.08;19.62;23.76;58.04;50.48;25.68;—
Enterprise Value/EBITDA;8.34;12.25;15.45;12.09;11.67;16.22;15.27;14.11;17.44;30.72;27.34;17.20;—
