Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.80;2.47;2.20;2.08;3.00;6.39;2.74;0.78;1.10;0.92;2.43;2.08;3.07
Price/Earnings;14.04;14.34;10.88;9.92;—;—;—;12.91;4.52;—;7.78;15.72;25.84
Price/Cash Flow;8.67;6.37;4.22;4.84;3.10;—;9.92;1.02;1.99;1.10;3.51;8.57;17.36
Price/Book;1.60;1.36;1.44;12.21;0.58;1.12;2.87;0.98;1.19;0.99;2.37;1.47;4.27
Price/Forward Earnings;—;7.15;8.01;32.68;-222.22;76.34;23.09;3.45;5.86;15.67;37.59;39.03;—
PEG Ratio;—;—;—;—;—;—;—;—;—;—;4.18;—;—
Earnings Yield %;7.12;6.97;9.19;10.09;-28.63;-70.23;-22.11;7.74;22.12;-5.07;-9.07;-9.55;—
Enterprise Value (Bil);0.02;0.03;0.04;0.33;0.15;0.30;0.74;0.31;0.53;0.48;1.23;0.50;—
Enterprise Value/EBIT;9.12;13.97;9.78;60.88;—;—;—;19.31;5.44;—;11.55;-7.15;—
Enterprise Value/EBITDA;6.50;7.45;5.45;33.41;10.84;—;—;5.36;3.44;5.09;51.94;42.43;—
