Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;7.43;9.47;9.92;11.11;15.20;10.68;10.19;10.37;11.18;11.41;15.60;10.94;3.01
Price/Earnings;51.55;31.92;35.70;32.04;46.67;33.73;31.92;21.70;33.42;34.38;37.55;30.58;25.53
Price/Cash Flow;17.60;17.96;18.67;20.98;29.86;21.86;18.33;17.94;20.65;20.47;27.44;20.27;17.03
Price/Book;2.28;2.70;3.22;3.92;5.19;4.42;4.97;4.80;5.42;6.37;7.58;5.21;4.19
Price/Forward Earnings;36.76;28.90;29.67;37.17;—;31.55;28.74;28.25;33.78;43.48;44.25;33.52;—
PEG Ratio;7.35;5.78;5.94;7.42;—;2.98;4.17;6.40;9.19;—;71.46;—;—
Earnings Yield %;1.94;3.13;2.80;3.12;2.14;2.96;3.13;4.61;2.99;2.91;2.66;3.39;—
Enterprise Value (Bil);3.49;5.58;6.55;8.95;13.30;13.69;15.27;16.22;18.71;20.69;27.63;17.13;—
Enterprise Value/EBIT;31.69;27.17;29.38;28.00;38.46;29.40;28.10;21.82;28.94;31.28;34.53;27.72;—
Enterprise Value/EBITDA;21.12;19.94;20.88;20.74;28.44;21.40;20.73;17.10;21.64;23.41;26.88;20.83;—
