Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;10.21;10.96;10.45;13.27;13.78;12.68;11.42;9.53;10.27;7.50;10.90;10.19;3.07
Price/Earnings;43.84;48.16;46.52;59.05;61.39;47.37;42.13;40.92;39.91;36.53;77.68;41.85;25.84
Price/Cash Flow;22.54;22.46;21.01;27.12;27.45;25.83;20.55;17.79;19.30;16.62;24.46;19.81;17.36
Price/Book;4.50;5.28;4.84;5.86;6.13;5.21;4.74;4.07;4.21;3.01;3.89;4.18;4.27
Price/Forward Earnings;38.91;42.37;31.06;39.06;45.87;41.67;41.32;33.11;36.90;38.31;81.30;42.75;—
PEG Ratio;8.60;5.90;2.78;3.62;—;8.33;7.71;5.35;5.57;31.88;3.92;12.62;—
Earnings Yield %;2.28;2.08;2.15;1.69;1.63;2.11;2.37;2.44;2.51;2.74;1.29;2.71;—
Enterprise Value (Bil);7.48;8.92;8.95;11.51;12.68;12.92;13.04;12.14;13.14;10.43;12.97;12.22;—
Enterprise Value/EBIT;31.90;34.63;34.96;45.19;47.38;41.12;39.19;36.20;35.85;33.83;48.20;36.55;—
Enterprise Value/EBITDA;20.82;22.32;21.77;27.19;28.86;25.54;24.11;21.33;21.48;18.62;24.67;21.82;—
