Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.34;0.59;1.09;1.13;1.09;1.35;1.47;1.14;1.67;1.78;2.19;1.53;3.07
Price/Earnings;—;21.74;6.69;14.99;13.78;21.38;28.30;13.36;17.92;20.48;25.94;20.80;25.84
Price/Cash Flow;12.06;20.57;16.00;11.34;10.46;20.50;20.77;13.02;24.89;16.50;15.70;19.17;17.36
Price/Book;1.14;3.24;3.17;2.54;2.47;2.32;2.83;2.34;3.23;2.95;3.39;2.82;4.27
Price/Forward Earnings;10.28;16.00;17.99;15.13;14.03;20.53;19.61;13.23;16.58;17.73;21.88;18.85;—
PEG Ratio;0.24;2.29;2.57;1.25;—;—;—;—;—;—;—;—;—
Earnings Yield %;-65.30;4.60;14.95;6.67;7.26;4.68;3.53;7.49;5.58;4.88;3.86;5.08;—
Enterprise Value (Bil);0.47;0.60;1.03;1.00;0.97;0.95;1.46;1.39;2.19;2.20;2.64;1.68;—
Enterprise Value/EBIT;—;12.76;19.37;12.21;8.89;13.63;21.79;13.49;15.24;16.72;20.87;16.87;—
Enterprise Value/EBITDA;—;9.98;15.32;10.33;7.80;11.06;15.47;10.01;11.95;12.50;15.29;12.58;—
