Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.55;4.08;6.01;5.11;1.88;2.61;2.55;1.37;1.77;1.73;2.68;1.95;3.07
Price/Earnings;16.05;18.56;22.19;20.03;8.50;8.80;9.24;4.54;6.74;7.52;10.93;7.12;25.84
Price/Cash Flow;37.21;16.36;13.88;21.17;5.55;10.86;12.20;2.93;5.58;11.59;7.90;7.25;17.36
Price/Book;2.88;3.72;5.21;4.52;1.65;—;—;—;16.31;5.32;6.94;15.50;4.27
Price/Forward Earnings;13.51;14.95;19.80;—;—;—;—;—;—;—;—;—;—
PEG Ratio;1.69;1.40;1.48;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;6.23;5.39;4.51;4.99;11.76;11.36;10.83;22.02;14.83;13.30;9.15;15.17;—
Enterprise Value (Bil);1.03;1.40;2.15;2.06;0.61;1.12;1.01;0.48;0.48;0.50;0.61;0.69;—
Enterprise Value/EBIT;8.04;10.49;12.58;11.19;3.96;6.48;6.34;2.96;4.31;5.53;6.47;4.82;—
Enterprise Value/EBITDA;7.99;10.43;12.52;11.14;3.94;6.45;6.31;2.95;4.27;5.47;6.40;4.80;—
