Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.75;2.02;2.72;2.28;1.53;1.95;1.95;1.59;2.88;6.25;9.29;2.85;3.01
Price/Earnings;22.42;25.41;25.51;18.78;17.72;40.34;26.20;13.58;24.42;49.22;57.39;28.51;25.53
Price/Cash Flow;15.69;10.08;15.09;13.24;11.12;11.20;12.63;11.08;25.94;32.64;41.68;18.12;17.03
Price/Book;3.78;5.05;15.10;7.20;4.02;6.17;6.53;4.42;6.74;11.62;16.90;6.88;4.19
Price/Forward Earnings;12.18;14.99;15.65;13.76;10.12;13.05;15.02;11.27;19.92;31.15;42.02;18.42;—
PEG Ratio;0.96;1.15;1.20;1.06;0.78;1.00;1.50;2.25;3.98;6.23;8.42;3.19;—
Earnings Yield %;4.46;3.93;3.92;5.33;5.64;2.48;3.82;7.36;4.10;2.03;1.74;4.13;—
Enterprise Value (Bil);2.39;3.13;4.98;4.16;2.97;3.63;3.99;3.86;7.18;14.85;26.05;6.68;—
Enterprise Value/EBIT;23.66;15.23;16.11;13.11;13.62;24.20;17.28;11.33;19.17;37.04;42.68;20.67;—
Enterprise Value/EBITDA;15.16;12.05;14.32;11.81;11.57;17.98;14.11;9.92;16.71;31.66;38.24;17.28;—
