Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.38;0.59;0.78;1.05;1.03;0.95;1.11;0.59;0.81;0.75;0.76;0.83;3.01
Price/Earnings;47.33;20.84;27.43;48.64;20.05;16.00;30.29;9.50;22.50;36.04;21.77;21.41;25.53
Price/Cash Flow;4.31;5.46;7.72;8.75;7.77;6.41;8.74;9.91;21.91;6.40;5.23;8.38;17.03
Price/Book;1.68;2.29;2.84;4.06;3.77;3.53;4.22;1.78;3.10;3.18;3.62;3.11;4.19
Price/Forward Earnings;9.91;12.92;13.74;17.70;15.27;14.86;18.62;11.89;16.64;14.53;14.81;17.03;—
PEG Ratio;0.60;1.62;1.72;2.21;—;—;3.72;2.38;—;—;—;—;—
Earnings Yield %;2.11;4.80;3.65;2.06;4.99;6.25;3.30;10.53;4.44;2.77;4.59;5.16;—
Enterprise Value (Bil);3.87;4.51;5.26;6.48;6.08;6.17;7.04;6.08;7.77;8.17;9.27;7.11;—
Enterprise Value/EBIT;21.16;14.47;16.82;32.06;15.20;14.71;20.92;13.66;15.21;24.27;19.57;17.74;—
Enterprise Value/EBITDA;8.36;7.80;8.97;13.69;8.93;8.68;10.85;6.99;8.20;10.18;9.73;8.99;—
