Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.27;0.31;2.28;1.53;1.76;1.06;1.37;1.28;1.11;0.81;0.95;1.10;3.07
Price/Earnings;5.23;5.24;82.67;29.47;18.31;19.04;9.15;4.09;14.79;7.68;6.68;9.81;25.84
Price/Cash Flow;1.81;1.41;16.99;6.73;8.30;6.31;5.59;5.04;5.31;2.83;3.42;4.85;17.36
Price/Book;0.74;0.88;5.43;3.37;2.83;1.72;2.56;1.19;1.52;1.09;1.28;1.45;4.27
Price/Forward Earnings;2.89;3.48;11.44;23.09;10.12;15.06;10.00;11.89;8.39;9.64;14.77;11.90;—
PEG Ratio;0.96;1.16;3.81;2.31;1.01;1.51;1.00;1.19;0.84;0.96;1.48;1.12;—
Earnings Yield %;19.14;19.09;1.21;3.39;5.46;5.25;10.93;24.42;6.76;13.02;14.98;13.02;—
Enterprise Value (Bil);0.91;0.95;1.64;1.87;2.32;2.31;3.15;2.55;6.40;5.64;6.14;4.05;—
Enterprise Value/EBIT;8.97;8.86;22.66;18.67;13.79;14.19;9.94;8.62;14.02;9.80;8.60;11.34;—
Enterprise Value/EBITDA;6.33;6.70;15.29;12.82;10.08;9.60;7.68;6.48;9.76;6.98;6.41;8.18;—
