Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.57;1.34;1.19;1.32;1.19;1.59;1.80;1.37;1.17;1.16;1.23;1.37;3.01
Price/Earnings;13.05;16.04;29.13;20.06;17.03;21.67;22.69;31.61;17.35;—;19.40;34.29;25.53
Price/Cash Flow;7.30;10.80;14.57;12.26;18.03;10.27;11.62;9.75;11.79;8.23;5.90;10.58;17.03
Price/Book;3.15;2.71;3.26;3.72;3.14;3.86;3.75;3.24;3.30;2.82;2.75;3.18;4.19
Price/Forward Earnings;11.40;8.40;13.12;13.42;—;—;—;—;—;12.80;12.35;—;—
PEG Ratio;1.14;—;1.03;1.06;—;—;—;—;—;1.07;1.03;—;—
Earnings Yield %;7.66;6.24;3.43;4.99;5.87;4.62;4.41;3.16;5.76;-2.06;5.15;3.61;—
Enterprise Value (Bil);1.71;2.08;2.48;2.67;2.35;3.00;3.23;2.66;2.71;4.36;4.33;3.23;—
Enterprise Value/EBIT;10.13;14.93;21.03;14.58;12.61;15.83;15.11;15.66;13.27;74.03;11.82;23.75;—
Enterprise Value/EBITDA;8.35;11.40;11.95;11.05;9.76;12.00;11.94;11.75;10.32;23.01;8.84;13.62;—
