Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;6.03;7.94;7.22;7.06;7.31;7.91;8.83;7.89;9.09;7.97;8.10;8.43;3.07
Price/Earnings;—;240.10;—;71.89;57.80;60.64;33.11;284.40;158.90;34.42;45.80;113.47;25.84
Price/Cash Flow;16.37;16.53;16.41;20.68;17.46;21.43;20.92;17.44;19.43;8.47;8.64;18.41;17.36
Price/Book;1.42;1.87;1.63;2.21;2.34;2.16;2.16;2.05;2.49;2.17;2.14;2.27;4.27
Price/Forward Earnings;136.99;33.67;31.95;40.49;—;—;—;—;—;—;—;—;—
PEG Ratio;37.33;8.41;8.00;10.12;—;—;—;—;—;—;—;—;—
Earnings Yield %;-0.27;0.42;-0.80;1.39;1.73;1.65;3.02;0.35;0.63;2.91;2.18;1.55;—
Enterprise Value (Bil);2.79;3.39;3.31;4.10;4.25;4.74;4.98;4.90;6.03;5.67;5.99;5.38;—
Enterprise Value/EBIT;—;40.88;56.10;39.85;37.48;44.15;29.96;73.78;73.91;33.83;41.71;53.38;—
Enterprise Value/EBITDA;—;18.38;20.23;18.91;18.23;20.27;16.10;21.44;23.30;15.74;17.60;20.06;—
