Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.80;0.96;1.10;1.31;1.24;0.70;0.90;0.63;0.47;0.45;0.61;0.62;3.07
Price/Earnings;16.56;18.13;20.12;19.96;16.62;13.19;19.94;17.25;17.76;17.73;20.33;17.38;25.84
Price/Cash Flow;11.55;11.48;23.83;15.70;16.55;18.99;10.28;11.37;23.45;7.06;8.47;13.40;17.36
Price/Book;1.63;1.90;2.25;2.89;2.87;1.63;2.15;1.63;1.88;1.46;1.78;1.76;4.27
Price/Forward Earnings;10.99;13.48;14.51;17.57;16.16;11.26;17.54;11.49;13.14;14.39;17.83;14.03;—
PEG Ratio;0.60;1.17;1.37;1.58;5.41;14.43;2.10;0.55;1.76;14.24;1.39;4.52;—
Earnings Yield %;6.04;5.52;4.97;5.01;6.02;7.58;5.02;5.80;5.63;5.64;4.92;6.30;—
Enterprise Value (Bil);3.20;4.17;5.25;7.31;7.59;6.07;7.99;7.04;11.98;10.92;12.33;8.47;—
Enterprise Value/EBIT;12.41;12.44;14.92;16.45;13.56;11.74;15.46;10.70;14.62;14.66;17.10;12.93;—
Enterprise Value/EBITDA;8.53;10.07;12.18;13.73;11.43;9.39;11.71;8.44;11.75;11.27;13.04;10.13;—
