Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.83;2.93;3.73;4.03;4.11;4.50;5.17;4.33;4.82;5.20;5.36;4.74;3.07
Price/Earnings;16.00;18.16;20.44;17.31;19.68;20.21;24.30;218.73;27.78;24.75;29.86;71.29;25.84
Price/Cash Flow;12.42;12.81;15.78;16.46;15.62;19.06;17.79;15.98;16.92;19.47;18.61;17.50;17.36
Price/Book;2.91;3.00;3.70;3.80;3.97;4.31;5.07;5.32;6.60;6.43;6.76;5.63;4.27
Price/Forward Earnings;12.52;12.56;15.24;16.69;15.77;16.08;17.92;15.08;16.05;17.42;17.76;16.69;—
PEG Ratio;2.06;2.28;3.17;3.51;4.56;3.78;2.98;2.43;3.43;2.93;1.95;3.16;—
Earnings Yield %;6.25;5.51;4.89;5.78;5.08;4.95;4.12;0.46;3.60;4.04;3.35;3.41;—
Enterprise Value (Bil);166.52;189.85;248.22;273.30;266.66;299.99;394.30;355.46;395.28;421.29;453.99;371.15;—
Enterprise Value/EBIT;11.25;13.27;15.25;12.93;14.28;15.05;19.44;19.25;23.65;21.87;25.71;19.68;—
Enterprise Value/EBITDA;9.31;10.56;12.22;10.87;11.92;12.67;15.70;13.92;16.72;15.97;18.13;15.67;—
