Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.01;1.43;1.95;2.13;2.07;2.00;2.07;1.74;0.73;1.04;1.05;1.53;3.07
Price/Earnings;28.72;30.67;38.38;48.80;24.52;26.31;29.71;15.05;9.73;116.31;247.14;39.38;25.84
Price/Cash Flow;7.27;9.69;11.18;11.06;12.65;13.40;12.52;9.45;4.63;4.60;3.74;9.32;17.36
Price/Book;1.40;1.92;2.77;3.19;3.71;3.94;4.84;4.06;1.72;1.50;1.36;3.27;4.27
Price/Forward Earnings;11.06;17.12;20.88;20.88;18.90;18.15;18.76;—;16.75;13.39;20.24;18.06;—
PEG Ratio;0.74;1.16;2.01;1.35;—;—;—;—;—;—;—;—;—
Earnings Yield %;3.48;3.26;2.61;2.05;4.08;3.80;3.37;6.64;10.28;0.86;0.40;4.27;—
Enterprise Value (Bil);3.47;4.48;5.68;6.44;6.85;7.96;9.09;8.56;4.55;3.37;3.62;6.92;—
Enterprise Value/EBIT;15.88;16.51;20.02;22.80;15.88;16.47;17.24;13.55;7.46;17.87;18.38;15.60;—
Enterprise Value/EBITDA;8.81;9.70;11.93;13.52;10.71;11.13;11.55;9.47;5.12;8.88;9.34;9.78;—
