Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.45;0.57;0.64;0.37;0.45;0.57;0.63;0.47;0.78;0.77;0.96;0.62;3.07
Price/Earnings;9.11;30.85;20.31;32.60;—;35.51;38.88;4.19;22.76;—;69.60;23.83;25.84
Price/Cash Flow;13.22;31.39;20.31;6.39;—;16.99;9.63;—;13.11;14.62;14.51;13.67;17.36
Price/Book;1.63;1.74;1.74;1.06;2.45;2.15;3.21;1.30;2.41;2.58;3.29;2.22;4.27
Price/Forward Earnings;10.65;9.73;11.78;12.87;12.77;13.04;15.08;9.46;15.65;14.75;17.57;13.43;—
PEG Ratio;0.89;1.08;1.31;1.43;1.42;1.45;1.68;1.54;1.06;1.01;0.96;1.33;—
Earnings Yield %;10.98;3.24;4.92;3.07;-43.79;2.82;2.57;23.85;4.39;-0.78;1.44;5.99;—
Enterprise Value (Bil);3.46;3.46;3.86;1.49;1.70;2.51;2.78;2.74;5.12;4.94;6.79;3.54;—
Enterprise Value/EBIT;5.63;11.72;7.97;9.41;—;47.38;21.38;6.55;13.69;51.42;32.98;22.14;—
Enterprise Value/EBITDA;5.05;9.60;7.01;6.41;—;26.71;15.27;5.76;10.99;24.93;20.46;23.11;—
