Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.11;1.01;5.99;4.94;3.56;1.32;1.36;0.28;0.53;0.46;0.35;0.78;3.01
Price/Earnings;221.00;16.00;206.88;15.54;10.06;—;20.53;—;67.85;—;66.54;22.93;25.53
Price/Cash Flow;—;6.87;51.66;24.63;11.49;5.27;6.75;1.08;2.66;2.54;1.77;3.76;17.03
Price/Book;1.19;1.19;7.97;4.61;2.92;1.54;1.49;0.60;1.07;0.86;1.50;1.16;4.19
Price/Forward Earnings;11.53;15.24;26.04;12.18;9.35;6.40;7.76;2.46;8.09;13.04;—;8.28;—
PEG Ratio;0.51;0.51;0.59;0.20;0.13;0.58;—;—;—;—;—;1.26;—
Earnings Yield %;0.45;6.25;0.48;6.44;9.95;-2.22;4.87;-146.17;1.47;-10.89;-110.44;-28.43;—
Enterprise Value (Bil);0.11;0.11;1.11;1.38;1.24;1.62;1.65;0.86;0.97;0.83;0.73;1.17;—
Enterprise Value/EBIT;150.10;7.25;203.31;8.89;5.56;27.68;10.96;—;10.89;89.01;88.78;21.28;—
Enterprise Value/EBITDA;18.71;5.18;95.23;8.58;5.41;15.52;8.04;—;6.80;12.33;12.30;10.41;—
