Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.31;0.32;0.47;0.46;0.54;0.53;0.63;0.38;0.43;0.58;0.60;0.50;3.07
Price/Earnings;7.75;3.65;6.25;16.60;12.60;10.06;11.02;6.27;10.05;88.35;37.54;19.11;25.84
Price/Cash Flow;5.67;6.41;9.15;10.05;8.06;5.87;7.22;5.09;5.53;12.86;15.55;7.39;17.36
Price/Book;1.53;1.24;2.32;2.42;3.22;2.99;3.05;1.80;1.97;2.23;2.33;2.35;4.27
Price/Forward Earnings;7.12;8.56;10.70;10.25;10.60;9.01;9.75;6.41;8.62;10.86;12.55;9.94;—
PEG Ratio;0.56;0.92;1.14;0.61;1.16;1.43;—;4.93;—;3.04;0.37;—;—
Earnings Yield %;12.90;27.43;15.99;6.03;7.94;9.94;9.07;15.94;9.95;1.13;2.66;9.27;—
Enterprise Value (Bil);3.09;3.72;6.71;7.85;10.20;9.90;12.65;8.50;9.32;10.62;11.59;10.07;—
Enterprise Value/EBIT;4.65;5.32;9.66;10.28;9.93;6.96;8.15;5.08;7.58;41.03;20.44;11.33;—
Enterprise Value/EBITDA;3.37;3.96;6.92;7.31;7.48;5.51;6.45;3.96;5.38;13.52;10.37;6.60;—
