Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.24;2.06;1.51;1.43;1.19;0.90;1.22;0.63;0.82;1.05;1.29;0.95;3.07
Price/Earnings;40.94;12.43;18.40;18.22;14.14;10.92;18.59;9.26;9.10;9.71;9.43;11.68;25.84
Price/Cash Flow;—;—;—;—;—;14.88;17.87;7.91;13.97;5.78;7.50;13.32;17.36
Price/Book;1.38;2.17;2.18;2.01;1.93;1.54;2.01;0.90;1.15;1.32;1.63;1.41;4.27
Price/Forward Earnings;21.37;20.04;16.18;14.03;12.47;10.22;13.16;5.98;9.15;8.15;8.98;10.04;—
PEG Ratio;0.92;0.43;0.46;0.78;0.67;0.63;0.78;0.23;1.13;0.65;0.67;0.73;—
Earnings Yield %;2.44;8.04;5.43;5.49;7.07;9.15;5.38;10.80;10.99;10.30;10.60;9.07;—
Enterprise Value (Bil);6.95;10.90;12.64;13.88;16.07;15.34;20.72;21.92;26.44;26.52;34.52;23.75;—
Enterprise Value/EBIT;36.84;34.43;16.29;15.07;13.15;11.49;14.74;14.58;10.01;8.49;7.65;12.39;—
Enterprise Value/EBITDA;33.07;31.62;16.29;14.51;13.15;11.49;14.12;13.79;9.68;8.49;7.65;11.95;—
