Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.75;1.03;1.52;1.54;1.69;1.73;2.96;2.58;3.51;2.48;2.57;2.65;3.07
Price/Earnings;8.30;9.91;16.59;14.36;27.94;36.08;26.53;21.17;25.08;23.93;33.90;29.98;25.84
Price/Cash Flow;7.26;6.47;8.67;10.15;11.57;14.21;28.11;21.07;20.12;19.30;15.98;21.90;17.36
Price/Book;1.87;3.01;4.57;4.18;3.12;4.17;5.62;4.89;1.92;1.86;2.20;4.52;4.27
Price/Forward Earnings;6.55;8.03;11.68;14.68;16.18;17.33;23.42;17.04;17.36;14.45;17.09;18.20;—
PEG Ratio;0.85;2.01;3.89;3.67;—;—;—;—;—;1.17;—;—;—
Earnings Yield %;12.04;10.09;6.03;6.96;3.58;2.77;3.77;4.72;3.99;4.18;2.95;3.58;—
Enterprise Value (Bil);6.21;7.10;8.78;8.69;15.57;16.94;20.41;19.36;50.54;46.04;51.66;30.81;—
Enterprise Value/EBIT;6.85;7.53;11.41;9.92;23.17;21.20;18.52;17.96;39.42;26.92;27.21;24.47;—
Enterprise Value/EBITDA;5.47;6.00;8.91;8.04;16.24;14.70;14.66;14.48;32.82;20.18;17.50;18.47;—
