Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;5.79;8.20;8.21;9.86;11.41;8.79;8.57;8.68;9.95;10.71;20.77;9.56;3.01
Price/Earnings;55.42;37.87;31.03;34.47;34.73;35.38;44.54;32.07;16.43;36.51;70.75;34.53;25.53
Price/Cash Flow;15.77;18.50;17.41;20.03;21.27;17.65;16.12;17.23;18.11;19.28;36.46;18.01;17.03
Price/Book;1.99;2.59;2.55;3.12;3.43;1.88;2.03;2.16;2.37;2.63;3.30;2.20;4.19
Price/Forward Earnings;26.46;22.88;26.32;34.60;—;—;29.24;—;—;—;—;—;—
PEG Ratio;2.59;3.09;3.56;4.68;—;—;5.84;—;—;—;—;—;—
Earnings Yield %;1.80;2.64;3.22;2.90;2.88;2.83;2.25;3.12;6.09;2.74;1.41;3.46;—
Enterprise Value (Bil);1.85;2.57;2.74;3.72;4.80;5.58;5.87;6.07;6.96;8.09;10.63;6.30;—
Enterprise Value/EBIT;27.21;31.27;27.69;32.17;32.92;38.29;37.58;28.14;18.14;34.34;42.62;30.21;—
Enterprise Value/EBITDA;17.85;20.74;19.09;22.57;23.62;23.55;19.63;19.08;14.24;22.86;28.17;19.17;—
