Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.99;0.68;0.69;0.89;1.02;0.81;0.63;0.63;0.79;1.11;1.08;0.77;3.07
Price/Earnings;28.75;20.26;18.01;29.50;17.99;17.70;15.38;5.40;20.20;20.06;10.09;14.77;25.84
Price/Cash Flow;15.43;16.47;6.87;9.69;8.19;8.88;5.95;4.90;6.23;7.30;5.77;6.55;17.36
Price/Book;1.49;3.76;3.54;4.06;4.30;3.31;2.45;1.84;2.19;2.76;2.70;2.46;4.27
Price/Forward Earnings;18.73;13.91;20.08;19.61;14.75;18.38;16.13;13.87;—;—;—;16.40;—
PEG Ratio;1.97;1.39;2.01;1.96;—;—;—;—;—;—;—;—;—
Earnings Yield %;3.48;4.94;5.55;3.39;5.56;5.65;6.50;18.52;4.95;4.99;9.91;8.20;—
Enterprise Value (Bil);2.25;1.35;1.33;1.64;2.31;2.31;2.08;2.26;2.86;3.51;3.74;2.57;—
Enterprise Value/EBIT;18.38;13.98;12.47;15.10;11.56;14.20;13.02;14.10;21.09;18.20;9.48;15.63;—
Enterprise Value/EBITDA;18.38;7.99;7.58;9.17;8.37;8.93;8.02;8.77;12.30;9.59;6.25;9.02;—
