Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.17;0.19;0.30;0.30;0.25;0.17;0.17;0.11;0.12;0.13;0.13;0.14;3.07
Price/Earnings;17.20;14.76;27.13;34.60;22.19;15.76;7.60;175.35;—;13.51;14.03;87.68;25.84
Price/Cash Flow;6.78;15.54;13.37;19.56;11.04;6.03;10.60;6.78;7.35;6.62;6.81;7.52;17.36
Price/Book;2.69;2.95;4.65;5.39;5.13;3.15;2.89;2.27;3.78;4.70;4.88;3.43;4.27
Price/Forward Earnings;11.00;11.74;19.19;19.76;15.72;11.04;12.06;7.84;9.03;9.89;10.04;10.56;—
PEG Ratio;0.75;1.01;1.65;0.83;0.70;1.15;—;1.03;—;—;—;0.82;—
Earnings Yield %;5.81;6.78;3.69;2.89;4.51;6.34;13.16;0.57;-2.35;7.40;-14.67;3.03;—
Enterprise Value (Bil);19.18;24.33;39.06;54.93;49.11;34.40;38.27;28.16;33.44;34.24;32.93;34.53;—
Enterprise Value/EBIT;10.00;10.06;16.98;21.43;14.29;10.48;6.00;60.04;—;11.28;11.63;55.96;—
Enterprise Value/EBITDA;9.18;8.14;13.22;15.79;11.25;8.24;5.25;19.67;38.88;8.71;8.98;17.92;—
