Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.67;1.02;1.00;1.38;1.35;1.82;2.94;3.50;1.93;2.77;3.09;2.86;3.07
Price/Earnings;9.40;22.75;17.66;20.21;19.99;28.13;34.39;31.97;18.02;24.60;27.03;29.72;25.84
Price/Cash Flow;5.66;9.01;10.47;13.37;13.04;17.87;25.54;27.33;16.52;16.12;18.46;22.08;17.36
Price/Book;2.97;4.00;3.08;4.91;4.13;5.21;7.72;13.29;11.59;16.51;19.23;11.85;4.27
Price/Forward Earnings;8.54;15.36;13.33;16.56;16.69;—;26.95;21.37;—;—;—;—;—
PEG Ratio;0.46;1.02;0.89;1.10;—;—;1.80;1.07;—;—;—;—;—
Earnings Yield %;10.64;4.40;5.66;4.95;5.00;3.56;2.91;3.13;5.55;4.06;3.70;3.93;—
Enterprise Value (Bil);0.18;0.31;0.26;0.35;0.29;0.41;0.74;1.38;1.20;2.15;3.16;1.30;—
Enterprise Value/EBIT;5.80;13.23;8.67;12.04;10.69;15.95;20.06;23.50;13.07;18.74;19.34;20.12;—
Enterprise Value/EBITDA;4.69;8.93;6.37;8.78;8.39;12.98;17.92;21.82;12.49;17.99;18.48;18.36;—
