Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.83;1.48;1.10;0.82;0.78;1.09;1.03;0.56;0.55;0.37;0.49;0.65;3.07
Price/Earnings;34.92;30.48;47.45;28.64;26.89;31.70;35.56;47.93;101.93;—;17.52;58.47;25.84
Price/Cash Flow;42.51;12.26;18.16;13.54;9.74;11.14;10.47;9.49;7.17;3.74;4.43;7.95;17.36
Price/Book;3.93;3.33;2.74;2.16;2.19;2.63;2.48;1.48;1.49;1.22;1.51;1.71;4.27
Price/Forward Earnings;24.94;15.02;19.76;—;—;—;31.25;16.72;—;—;22.83;—;—
PEG Ratio;1.28;0.88;1.32;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;2.86;3.28;2.11;3.49;3.72;3.15;2.81;2.09;0.98;-43.81;-1.94;-10.97;—
Enterprise Value (Mil);764.81;766.65;656.82;668.83;663.05;823.35;756.02;557.32;690.18;466.13;511.42;626.12;—
Enterprise Value/EBIT;21.16;18.52;22.32;20.65;16.73;19.89;22.02;21.43;28.40;—;97.14;41.68;—
Enterprise Value/EBITDA;13.57;11.65;11.56;10.73;9.13;11.14;11.32;9.37;11.22;—;12.76;12.06;—
