Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.75;3.65;4.34;5.52;6.10;6.84;7.07;4.78;4.73;3.70;4.28;5.36;3.01
Price/Earnings;17.75;15.26;14.94;22.71;21.88;25.42;8.95;8.80;53.67;105.13;20.35;21.60;25.53
Price/Cash Flow;17.04;16.35;16.16;21.41;20.08;25.33;31.17;12.74;13.17;9.07;10.67;18.17;17.03
Price/Book;13.72;20.14;19.22;22.70;39.52;44.63;11.16;5.97;8.79;24.30;30.25;16.17;4.19
Price/Forward Earnings;13.53;12.85;14.47;18.73;19.16;20.41;20.04;11.31;11.06;8.91;10.36;14.38;—
PEG Ratio;1.73;3.62;2.03;9.27;2.66;2.64;—;—;2.53;6.19;3.84;3.16;—
Earnings Yield %;5.63;6.55;6.69;4.40;4.57;3.93;11.17;11.36;1.86;0.95;4.91;5.98;—
Enterprise Value (Bil);71.62;74.16;87.19;109.16;125.11;143.46;147.57;104.07;119.03;101.33;112.02;122.71;—
Enterprise Value/EBIT;10.82;9.75;9.64;14.69;14.08;16.12;6.13;9.89;24.38;23.28;13.23;16.63;—
Enterprise Value/EBITDA;10.42;9.47;9.42;14.30;13.76;15.72;6.08;9.68;23.32;21.99;12.84;15.79;—
