Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.80;1.90;2.16;2.06;2.49;2.49;2.43;2.69;3.63;3.95;5.09;3.16;3.07
Price/Earnings;21.83;18.87;17.22;25.60;—;25.50;23.16;—;26.81;38.04;38.51;28.38;25.84
Price/Cash Flow;10.46;15.48;24.33;20.96;—;13.85;13.95;18.49;15.33;17.42;22.88;16.53;17.36
Price/Book;2.42;4.71;6.42;4.59;—;—;—;—;—;—;—;6.81;4.27
Price/Forward Earnings;16.03;14.41;15.48;19.65;16.95;16.50;15.50;14.95;18.76;19.46;25.32;18.09;—
PEG Ratio;1.69;2.77;1.11;22.59;1.17;4.65;2.35;1.38;1.84;1.76;2.07;2.56;—
Earnings Yield %;4.58;5.30;5.81;3.91;-2.92;3.92;4.32;-0.23;3.73;2.63;2.60;2.78;—
Enterprise Value (Bil);10.96;13.63;16.75;15.30;14.12;17.07;18.45;23.40;32.68;33.70;41.85;25.84;—
Enterprise Value/EBIT;12.28;10.30;12.99;14.69;—;15.78;15.48;17.57;21.60;31.23;28.41;20.40;—
Enterprise Value/EBITDA;7.40;8.90;11.06;11.91;—;12.75;12.13;13.86;17.24;22.72;22.11;15.91;—
