Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.33;0.42;0.54;0.66;0.52;0.84;0.93;0.76;1.02;1.18;1.26;0.93;3.01
Price/Earnings;9.75;21.66;27.54;22.02;15.38;30.94;37.38;27.94;81.44;53.10;43.53;45.76;25.53
Price/Cash Flow;112.09;13.80;7.61;12.62;6.80;11.16;13.09;11.37;14.16;11.03;14.66;12.56;17.03
Price/Book;1.15;1.27;1.47;1.48;1.18;1.58;1.91;1.70;2.03;2.12;2.35;1.88;4.19
Price/Forward Earnings;10.40;13.64;13.55;15.60;15.90;23.47;26.11;18.08;18.35;23.09;26.11;23.22;—
PEG Ratio;0.98;1.14;1.13;1.30;—;—;—;—;—;—;—;—;—
Earnings Yield %;10.26;4.62;3.63;4.54;6.50;3.23;2.67;3.58;1.23;1.88;2.30;2.58;—
Enterprise Value (Bil);0.60;0.61;0.71;0.75;0.58;0.79;0.96;0.88;1.16;1.39;1.66;1.04;—
Enterprise Value/EBIT;7.94;16.46;23.80;15.44;11.42;25.07;33.69;14.77;56.96;57.20;44.02;36.44;—
Enterprise Value/EBITDA;5.09;8.20;10.34;8.17;6.26;10.50;13.07;9.21;18.89;21.25;22.32;14.45;—
