Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.35;0.53;0.77;0.77;0.60;0.25;0.93;0.30;0.33;0.31;0.56;0.41;3.07
Price/Earnings;—;20.36;19.76;20.85;39.36;—;—;11.13;—;—;51.11;30.45;25.84
Price/Cash Flow;—;12.88;11.04;23.12;12.85;—;59.86;—;—;6.31;9.67;49.60;17.36
Price/Book;2.56;3.58;4.21;3.43;2.65;1.34;2.21;0.77;0.99;0.73;1.29;1.13;4.27
Price/Forward Earnings;9.92;11.68;13.14;14.77;17.45;-48.78;81.97;12.08;12.03;52.36;81.30;39.24;—
PEG Ratio;0.66;2.66;2.99;3.36;—;—;—;—;—;—;—;—;—
Earnings Yield %;-3.70;4.85;5.06;4.80;2.54;-27.09;-4.17;8.98;-6.63;-2.55;-1.78;-6.96;—
Enterprise Value (Bil);3.22;3.83;4.83;4.67;3.66;1.10;1.64;0.71;0.90;0.70;1.00;0.94;—
Enterprise Value/EBIT;21.00;14.33;15.37;15.96;20.36;—;—;18.64;113.60;24.29;29.29;-181.36;—
Enterprise Value/EBITDA;11.82;10.24;11.42;11.86;12.92;17.84;146.64;9.50;20.68;10.77;13.74;33.77;—
