Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;2.23;1.81;1.45;3.24;3.67;3.98;4.81;5.70;3.46;3.01
Price/Earnings;—;—;—;238.72;110.56;21.83;31.70;27.25;—;—;14.56;27.30;25.53
Price/Cash Flow;—;—;—;4.20;3.86;3.14;7.66;7.66;9.28;7.61;8.09;7.01;17.03
Price/Book;—;—;—;1.13;1.03;0.81;1.37;1.01;1.60;2.21;2.36;1.40;4.19
Price/Forward Earnings;—;—;—;32.26;28.90;20.08;25.64;30.67;39.06;47.17;27.47;38.42;—
PEG Ratio;—;—;—;—;—;0.30;2.85;3.40;4.33;5.25;3.06;4.13;—
Earnings Yield %;—;—;—;0.42;0.90;4.58;3.15;3.67;-4.82;-1.77;6.87;0.95;—
Enterprise Value (Bil);—;—;—;2.37;2.14;4.92;6.54;5.89;7.35;8.90;9.24;6.61;—
Enterprise Value/EBIT;—;—;—;15.22;13.46;11.68;13.82;9.94;30.13;25.06;23.26;17.56;—
Enterprise Value/EBITDA;—;—;—;10.57;8.29;8.17;9.82;7.35;13.79;12.27;11.96;9.94;—
